Number of vertices: 19
Start vertex:       0

         0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18
---------------------------------------------------------------------------------------------------
  0 |    0   35   97   45    0    0   40    0    0    0    0    0    0    0    0    0    0    0    0
  1 |    0    0    0    0    0    0    0    0   32   54    0    0    0    0    0    0    0    0    0
  2 |    0    0    0    0    0    0    0    0    0    0   45    0   61    0    0   20    0    0    0
  3 |    0    0    0    0   45    0   29    0    0    0    0    0    0   92   69    0    0   20    0
  4 |    0    0    0   92    0    0    0    0   60   20    0    0    0    0    0    0    0    0    0
  5 |   61   77   13    0    0    0    0    0    0    0    0   56    0    0   82    0    0    0    0
  6 |    0   15    0    0    0   59    0    0    0    0   23    0    0    0    0    0    0    0   20
  7 |    0    0   62    0    0    0   76    0    0    0    0    0   80    0    0    0    0    0   59
  8 |    0    0    0    0    0    0    0   92    0   71    0    0    0    0    0    0    0    0    0
  9 |   94    0   87    0    0   76    0    0    0    0    0    0    0    0    0    0    0   16    0
 10 |    0    0    0   96    0   98    0   55    0    0    0    0    0    0    0    0    0   94    0
 11 |    0    0    0    0    0    0   45    0    0   99   98    0    0   36    0    0    0    0    0
 12 |    0   83    0    0   17    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 13 |    0    0    0   16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 14 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 15 |    0    0    0    0    0   96    0    0    0    0    0    0    0    0    0    0    0    0    0
 16 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 17 |    0    0   37    0   21   70    0    0    0    0    0    0    0    0    0    0   21    0    0
 18 |    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
